gene1,gene2,lag,p-value
ABCB11,ACTG1,1,0.9673251890000345
ABCB11,ACTL6A,1,0.08327613927233032
ABCB11,ACVR1,1,0.9677649609586277
ABCB11,ACY1,1,0.8390710033480459
ABCB11,ADA,1,0.5234275797697031
ABCB11,ADAR,1,0.8681599441275317
ABCB11,ADAT3,1,0.1342687823757395
ABCB11,ADCK3,1,0.8588777568058739
ABCB11,ADCY5,1,0.7920887824655596
ABCB11,ADGRG1,1,0.5917836894880176
ABCB11,ADGRG6,1,0.4627302518540313
ABCB11,ADK,1,0.5823407167216738
ABCB11,ADNP,1,0.5848338526881599
ABCB11,ADPRHL2,1,0.989896183067375
ABCB11,ADRA2B,1,0.958900851502272
ABCB11,ADSL,1,0.1444374649019941
ABCB11,AFF2,1,0.7025608047611169
ABCB11,AFF4,1,0.8016954794121193
ABCB11,AFG3L2,1,0.0725432467580101
ABCB11,AGA,1,0.9140505864407391
ABCB11,AGL,1,0.33578213899958653
ABCB11,AGPS,1,0.9396968156102468
ABCB11,AGTR2,NaN,NaN
ABCB11,AGXT,1,0.657877974452179
ABCB11,AHCY,1,0.8189913681579036
ABCB11,AHDC1,1,0.7587007777004433
ABCB11,AHI1,1,0.8350412891152137
ABCB11,AIFM1,1,0.7961819350998036
ABCB11,AIMP1,1,0.8888545087105792
ABCB11,AIPL1,1,0.4622250319623879
ABCB11,AIRE,1,0.7725124528775901
ABCB11,AK1,1,0.029947997446717837
ABCB11,AK2,1,0.34114701868557307
ABCB11,AKR1D1,1,0.9991072126118654
ABCB11,AKT1,1,0.7960270146169457
ABCB11,AKT3,1,0.4399758149484792
ABCB11,ALAD,1,0.3498862339230028
ABCB11,ALDH18A1,1,0.9145304610821738
ABCB11,ALDH3A2,1,0.9632176463252499
ABCB11,ALDH4A1,1,0.9016878607247701
ABCB11,ALDH5A1,1,0.02788424192917765
ABCB11,ALDH7A1,1,0.5682765894189258
ABCB11,ALDOA,1,0.7221888279249811
ABCB11,ALDOB,1,0.937902941070687
ABCB11,ALG1,1,0.28059529267494826
ABCB11,ALG11,1,0.04725341100937781
ABCB11,ALG12,1,0.3484539975979232
ABCB11,ALG13,1,0.9377404303081502
ABCB11,ALG2,1,0.4539831733918244
ABCB11,ALG3,1,0.8831124879675989
ABCB11,ALG6,1,0.0011045207395006201
ABCB11,ALG8,1,0.6755163501566682
ABCB11,ALG9,1,0.32439746529520386
ABCB11,ALMS1,1,0.09065010109434114
ABCB11,ALPL,1,0.4777171829775911
ABCB11,ALX3,1,0.5694598757545726
ABCB11,ALX4,1,0.1434511909391218
ABCB11,AMER1,1,0.7644491957699939
ABCB11,AMPD2,1,0.7690940647626504
ABCB11,AMT,1,0.22246413547238753
ABCB11,ANK3,1,0.9436734055598713
ABCB11,ANKH,1,0.6972276707116226
ABCB11,ANKRD11,1,0.8643427746903052
ABCB11,ANO10,1,0.6747606201089209
ABCB11,ANO5,1,0.8075886967403005
ABCB11,ANTXR1,1,0.41471871863469345
ABCB11,AP1S1,1,0.9937676224613259
ABCB11,AP1S2,1,0.8700676424591975
ABCB11,AP3B1,1,0.7929507612541566
ABCB11,AP3B2,1,0.33924397116381166
ABCB11,AP4B1,1,0.2219829202486106
ABCB11,AP4E1,1,0.8235149144970109
ABCB11,AP4M1,1,0.7441548845437923
ABCB11,AP4S1,1,0.5429146038127908
ABCB11,APOPT1,1,0.9895535598392198
ABCB11,APTX,1,0.8878008261920151
ABCB11,ARCN1,1,0.33504103941938057
ABCB11,ARFGEF2,1,0.41991691194205777
ABCC6,AAAS,1,0.30856781466404365
ABCC6,AARS,1,0.4806567069605385
ABCC6,AASS,1,0.7105215316087153
ABCC6,ABCB11,1,0.8713703467700278
ABCC6,ABCC9,1,0.22195331919809608
ABCC6,ABCD1,1,0.34476578448205686
ABCC6,ABCD4,1,0.09274836531667159
ABCC6,ABHD5,1,0.7451501121795998
ABCC6,ACAD9,1,0.044310672657626435
ABCC6,ACADM,1,0.3974418661020994
ABCC6,ACADS,1,0.2342111242571464
ABCC6,ACADVL,1,0.5888071258692197
ABCC6,ACAN,1,0.5542782576682654
ABCC6,ACAT1,1,0.024157963034641725
