gene1,gene2,lag,p-value
SLC25A22,DKC1,1,7.457962970279287e-05
SOBP,RRM2B,1,9.552271778072421e-06
TGFB2,ASCL1,1,5.110184322883175e-06
TGIF1,WAC,1,0.00018873999502242757
TH,ITPR1,1,3.158671818999115e-06
TH,NSDHL,1,0.0002444690361389953
UPB1,CHD7,1,0.0001044173880221431
WAC,CNKSR2,1,2.707963847322787e-05
WDR13,CHD7,1,0.0003099971116647528
ADGRG6,TH,1,0.00021379739131501959
APOPT1,TGFB2,1,0.00015805647529995156
ARMC9,RRM2B,1,0.0002476177565771894
ASCL1,FANCC,1,0.00022213777364292928
B3GALNT2,AP3B2,1,0.0001102433199294917
B3GALNT2,WAC,1,9.047947985434586e-06
BHLHA9,SCN11A,1,0.00019205204216909808
CASP2,NAGLU,1,0.00017841758676932423
DCC,FTO,1,4.144063837803166e-05
EOGT,ITPR1,1,0.0002924220855946392
GPAA1,FANCC,1,0.00012544326796728566
GRIK2,TGFB2,1,0.00022195458224038108
HYDIN,TGFB2,1,2.6453767136960122e-05
NAGLU,MAN2B1,1,5.7552814186625896e-05
NAGLU,TH,1,0.000281461977278815
PEX13,SCN11A,1,0.00018862645615725862
RNF125,ADGRG6,1,0.0002514697300392262
SCN11A,MAPK10,1,0.00026389444575895463
SOBP,ABCC9,1,0.00030152498175064406
SOBP,RRM2B,1,9.552271778072421e-06
TGFB2,ASCL1,1,5.110184322883175e-06
TGIF1,WAC,1,0.00018873999502242757
TH,ITPR1,1,3.158671818999115e-06
TUBGCP4,SOBP,1,2.2035034525819546e-05
UPB1,CEP104,1,2.4298424214397585e-05
UPB1,CHD7,1,0.0001044173880221431
WDR13,CHD7,1,0.0003099971116647528
ABCC9,DYM,1,0.00014449972180671932
AP3B2,LAS1L,1,0.00025059309609017116
APOPT1,TGFB2,1,0.00015805647529995156
B3GALNT2,AP3B2,1,0.0001102433199294917
BHLHA9,ATP1A1,1,0.0001340063017244361
BHLHA9,SCN11A,1,0.00019205204216909808
CASP2,NAGLU,1,0.00017841758676932423
CEP104,MGAT2,1,0.00028254364827915427
EOGT,ITPR1,1,0.0002924220855946392
EOGT,SPR,1,0.000277209292052164
ETFDH,MAN2B1,1,4.3662089776922644e-06
FAM120C,TUBGCP4,1,0.00019614932650683175
GPAA1,FANCC,1,0.00012544326796728566
GRIK2,TGFB2,1,0.00022195458224038108
HNMT,PEX13,1,5.025023684631694e-05
HYDIN,TGFB2,1,2.6453767136960122e-05
MAN2B1,RTTN,1,8.912455717578973e-05
NAGLU,MAN2B1,1,5.7552814186625896e-05
NKX3-2,EOGT,1,0.0002813115329253697
PCCB,CEP104,1,0.00026314196446792826
PEX13,SCN11A,1,0.00018862645615725862
RNF125,ADGRG6,1,0.0002514697300392262
SOBP,ABCC9,1,0.00030152498175064406
TMEM165,GRIK2,1,8.189327462869019e-05
TUBGCP4,CA8,1,7.861680221977286e-05
TUBGCP4,SOBP,1,2.2035034525819546e-05
TUBGCP4,TWIST1,1,0.00019442383461334677
UPB1,CEP104,1,2.4298424214397585e-05
ABCC9,DYM,1,0.00014449972180671932
AP3B2,LAS1L,1,0.00025059309609017116
ASAH1,ATP1A1,1,0.00013474966365094172
BHLHA9,ATP1A1,1,0.0001340063017244361
CEP104,MGAT2,1,0.00028254364827915427
DYNC2H1,TMEM165,1,0.00019473669866810225
EOGT,SPR,1,0.000277209292052164
ETFDH,MAN2B1,1,4.3662089776922644e-06
FAM120C,TUBGCP4,1,0.00019614932650683175
HNMT,PEX13,1,5.025023684631694e-05
MAN2B1,RTTN,1,8.912455717578973e-05
NKX3-2,ARHGEF9,1,0.00029089903928340136
NKX3-2,EOGT,1,0.0002813115329253697
OTUD6B,MGAT2,1,5.498052504432879e-05
PANK2,DYM,1,2.7475435382750228e-05
PCCB,CEP104,1,0.00026314196446792826
PMM2,MGAT2,1,0.00020668509576322536
RAB18,NKX3-2,1,0.00014702206345213148
TMEM165,GRIK2,1,8.189327462869019e-05
TMEM165,TAB2,1,0.00023639583906552198
TSEN54,MGAT2,1,0.00029108267284460286
TUBA8,FAM120C,1,0.0002529468771277864
TUBGCP4,CA8,1,7.861680221977286e-05
TUBGCP4,TWIST1,1,0.00019442383461334677
WASF1,HNMT,1,0.00015714184017352932
ASAH1,ATP1A1,1,0.00013474966365094172
DYNC2H1,AP4B1,1,0.00020980847367371515
DYNC2H1,ELP2,1,0.00012957116660170892
DYNC2H1,TMEM165,1,0.00019473669866810225
FH,RAB18,1,0.0001604427126721883
HERC1,TSEN54,1,0.00012693175395639045
LHX3,OTUD6B,1,0.00021318658418242688
NKX3-2,ARHGEF9,1,0.00029089903928340136
OTUD6B,MGAT2,1,5.498052504432879e-05
OTUD6B,SCN1A,1,9.806643527823334e-05
PANK2,DYM,1,2.7475435382750228e-05
PANK2,PRKD1,1,0.00026775322006830415
PCGF2,ARHGEF9,1,0.00021725381011552334
PMM2,MGAT2,1,0.00020668509576322536
POLR1C,ARHGEF9,1,9.583613486392186e-05
PRRT2,TUBA8,1,3.363945004166287e-06
RAB18,NKX3-2,1,0.00014702206345213148
RAB18,WDR26,1,9.143632074160328e-05
SETBP1,ARHGEF9,1,0.0001773028091335229
TAB2,GLUL,1,0.00019516914196579473
TAB2,MFSD2A,1,0.0002672360102010524
TAB2,TRMT1,1,0.0002844046143308072
TMEM165,TAB2,1,0.00023639583906552198
TRIT1,OTUD6B,1,1.0289302404251928e-05
TSEN54,MGAT2,1,0.00029108267284460286
TUBA8,FAM120C,1,0.0002529468771277864
WASF1,HNMT,1,0.00015714184017352932
WASF1,TRIP11,1,3.276575329474808e-05
AP4B1,CLCN7,1,0.00027950557034174745
APTX,PCGF2,1,6.303136261392752e-05
CACNA1D,MFSD2A,1,0.0002473188005402537
DYNC2H1,AP4B1,1,0.00020980847367371515
DYNC2H1,ELP2,1,0.00012957116660170892
FBXL4,TRIP11,1,4.060493260339289e-05
FGF12,WDR26,1,0.0001642611641370843
FH,RAB18,1,0.0001604427126721883
GLI3,WDR26,1,0.00022202562594001823
HERC1,TSEN54,1,0.00012693175395639045
HNRNPU,WDR26,1,0.00016389461587926196
LHX3,ARV1,1,0.00010398502238467135
LHX3,NDUFV1,1,0.0001858310760856422
LHX3,OTUD6B,1,0.00021318658418242688
MFSD2A,GABRB2,1,9.670848936058867e-05
NPHS1,ELP2,1,0.000129107530961281
OTUD6B,SCN1A,1,9.806643527823334e-05
PANK2,PRKD1,1,0.00026775322006830415
PCGF2,ARHGEF9,1,0.00021725381011552334
PCGF2,PEX14,1,0.0002639546016323735
PIGV,WDR26,1,0.00012280471608261878
POLR1C,ARHGEF9,1,9.583613486392186e-05
POLR1C,TSC2,1,2.1482885968396827e-05
PRKD1,TRIO,1,5.50145351456364e-05
PRRT2,IGF1R,1,6.653212873723397e-05
PRRT2,TUBA8,1,3.363945004166287e-06
PTEN,FH,1,7.144501718057801e-05
RAB18,WDR26,1,9.143632074160328e-05
RARS2,AP4B1,1,0.00024343657588616572
SETBP1,ARHGEF9,1,0.0001773028091335229
SMPD4,MFSD2A,1,5.5582255873426726e-05
